Full Name,Name,Abb,Actor_ID,Actor_Type
The Israel Forum for International Humanitarian Aid,The Israel Forum for International Humanitarian Aid (IsraAID),IsraAID,52,OP
Touch Africa ,Touch Africa  (TAN),TAN,53,OP
Transcultural Psychosocial Organization ,Transcultural Psychosocial Organization  (TPO),TPO,54,OP
Tutapona ,Tutapona  (TUTAPONA),TUTAPONA,55,OP
Uganda Government,Uganda Government (Government),Government,56,IP
Uganda Red Cross,Uganda Red Cross (URC),URC,57,OP
Ugandan Red Cross Society ,Ugandan Red Cross Society  (URCS),URCS,58,OP
Ugandan Refugee and Disaster Management Council ,Ugandan Refugee and Disaster Management Council  (URDMC),URDMC,59,OP
United Nation Food Assistant Organization ,United Nation Food Assistant Organization  (FAO),FAO,60,UN
United Nation High Commissioner for Refugees ,United Nation High Commissioner for Refugees  (UNHCR),UNHCR,61,UN
United Nations Entity for Gender Equality and the Empowerment of Women ,United Nations Entity for Gender Equality and the Empowerment of Women  (UNWOMEN),UNWOMEN,62,UN
United Nations International Children's Emergency Fund ,United Nations International Children's Emergency Fund  (UNICEF),UNICEF,63,UN
United Nations Population Fund ,United Nations Population Fund  (UNFPA),UNFPA,64,UN
Volunteer Efforts for Development Concerns ,Volunteer Efforts for Development Concerns  (VEDCO),VEDCO,66,OP
War Child Canda ,War Child Canda  (WCC),WCC,67,OP
War Child Holland ,War Child Holland  (WCH),WCH,68,OP
Water Mission International ,Water Mission International  (WMI),WMI,69,OP
Welthungerhilfe,Welthungerhilfe (WHH),WHH,71,OP
Windle Trust Uganda ,Windle Trust Uganda  (WTU),WTU,72,OP
World Food Programme ,World Food Programme  (WFP),WFP,73,IP
World Health Organization ,World Health Organization  (WHO),WHO,74,IP
World Vision International ,World Vision International  (WVI),WVI,75,OP
ZOA- Uganda ,ZOA- Uganda  (ZOA),ZOA,76,OP
Arua - District Local Government ,Arua - District Local Government  (A-DLG),A-DLG,77,IP
Lamwo - District Local Government ,Lamwo - District Local Government  (L-DLG),L-DLG,78,IP
Hoima - District Local Government ,Hoima - District Local Government  (H-DLG),H-DLG,79,IP
Isingiro - District Local Government ,Isingiro - District Local Government  (I-DLG),I-DLG,80,IP
Kamwenge - District Local Government ,Kamwenge - District Local Government  (Ka-DLG),Ka-DLG,81,IP
Koboko - District Local Government ,Koboko - District Local Government  (Ko-DLG),Ko-DLG,82,IP
Kyegegwa - District Local Government ,Kyegegwa - District Local Government  (Ky-DLG),Ky-DLG,83,IP
Kiryandongo - District Local Government ,Kiryandongo - District Local Government  (Ki-DLG),Ki-DLG,84,IP
Moyo - District Local Government ,Moyo - District Local Government  (M-DLG),M-DLG,85,IP
Yumbe - District Local Government ,Yumbe - District Local Government  (Y-DLG),Y-DLG,86,IP
MSF-F,MSF-F (MSF-F),MSF-F,87,OP
MSF-Holland,MSF-Holland (MSF-H),MSF-H,88,OP
MSF-Spain,MSF-Spain (MSF-S),MSF-S,89,OP
MSF-France,MSF-France (MSF-FR),MSF-FR,90,OP
Raising Voices,Raising Voices (RV),RV,91,OP
Catholic Organisation for Relief and Development Aid,Catholic Organisation for Relief and Development Aid (CORDAID),CORDAID,92,OP
Agency for Technical Cooperation and Development,Agency for Technical Cooperation and Development (ACTED),ACTED,93,IP
